Duration,Country,Year,NumTrips
1 night or over,Estonia,2012,2513880
1 night or over,Estonia,2013,2449846
1 night or over,Estonia,2014,3285966
1 night or over,Estonia,2015,3293653
1 night or over,Estonia,2016,3743081
1 night or over,Estonia,2017,3830927
1 night or over,Estonia,2018,5520344
1 night or over,Estonia,2019,4376654
1 night or over,Estonia,2020,2366437
1 night or over,Estonia,2021,2499215
1 night or over,Estonia,2022,3337308
1 night or over,Estonia,2023,4099544
1 night or over,European Union - 27 countries (from 2020),2012,925601849
1 night or over,European Union - 27 countries (from 2020),2013,920854978
1 night or over,European Union - 27 countries (from 2020),2014,912193104
1 night or over,European Union - 27 countries (from 2020),2015,911695636
1 night or over,European Union - 27 countries (from 2020),2016,936620258
1 night or over,European Union - 27 countries (from 2020),2017,974851942
1 night or over,European Union - 27 countries (from 2020),2018,1005882648
1 night or over,European Union - 27 countries (from 2020),2019,1014172264
1 night or over,European Union - 27 countries (from 2020),2020,652081790
1 night or over,European Union - 27 countries (from 2020),2021,804399985
1 night or over,European Union - 27 countries (from 2020),2022,976628947
1 night or over,European Union - 27 countries (from 2020),2023,1032804824
1 night or over,Finland,2012,33897695
1 night or over,Finland,2013,33551261
1 night or over,Finland,2014,32270880
1 night or over,Finland,2015,32981505
1 night or over,Finland,2016,33206047
1 night or over,Finland,2017,33997694
1 night or over,Finland,2018,33093970
1 night or over,Finland,2019,33082843
1 night or over,Finland,2020,23336399
1 night or over,Finland,2021,29246905
1 night or over,Finland,2022,29755346
1 night or over,Finland,2023,27496056
1 night or over,France,2012,203184738
1 night or over,France,2013,203602292
1 night or over,France,2014,205903787
1 night or over,France,2015,183110642
1 night or over,France,2016,179613679
1 night or over,France,2017,196173554
1 night or over,France,2018,196114914
1 night or over,France,2019,193354601
1 night or over,France,2020,147988211
1 night or over,France,2021,181771179
1 night or over,France,2022,206169571
1 night or over,France,2023,217636261
1 night or over,Germany,2012,199765991
1 night or over,Germany,2013,207226639
1 night or over,Germany,2014,197188861
1 night or over,Germany,2015,210083293
1 night or over,Germany,2016,213495421
1 night or over,Germany,2017,202296144
1 night or over,Germany,2018,225708302
1 night or over,Germany,2019,219584535
1 night or over,Germany,2020,126363886
1 night or over,Germany,2021,156531167
1 night or over,Germany,2022,191695483
1 night or over,Germany,2023,216368017
1 night or over,Greece,2012,6778200
1 night or over,Greece,2013,5162644
1 night or over,Greece,2014,5971715
1 night or over,Greece,2015,5452536
1 night or over,Greece,2016,5192322
1 night or over,Greece,2017,5917301
1 night or over,Greece,2018,6318386
1 night or over,Greece,2019,5781321
1 night or over,Greece,2020,4603998
1 night or over,Greece,2021,5053178
1 night or over,Greece,2022,6652808
1 night or over,Greece,2023,6678092
1 night or over,Hungary,2012,17558336
1 night or over,Hungary,2013,15303319
1 night or over,Hungary,2014,16560041
1 night or over,Hungary,2015,17283948
1 night or over,Hungary,2016,17389453
1 night or over,Hungary,2017,17913939
1 night or over,Hungary,2018,18559360
1 night or over,Hungary,2019,19051406
1 night or over,Hungary,2020,9690202
1 night or over,Hungary,2021,10832887
1 night or over,Hungary,2022,15297544
1 night or over,Hungary,2023,16198655
1 night or over,Ireland,2012,11116378
1 night or over,Ireland,2013,11132809
1 night or over,Ireland,2014,11372091
1 night or over,Ireland,2015,11720060
1 night or over,Ireland,2016,12406347
1 night or over,Ireland,2017,13379728
1 night or over,Ireland,2018,14620524
1 night or over,Ireland,2019,15689226
1 night or over,Ireland,2020,7648824
1 night or over,Ireland,2021,6127487
1 night or over,Ireland,2022,16961759
1 night or over,Ireland,2023,17630155
1 night or over,Italy,2012,55155456
1 night or over,Italy,2013,46424986
1 night or over,Italy,2014,46881229
1 night or over,Italy,2015,43875348
1 night or over,Italy,2016,50828763
1 night or over,Italy,2017,50794932
1 night or over,Italy,2018,59337852
1 night or over,Italy,2019,54538932
1 night or over,Italy,2020,29769407
1 night or over,Italy,2021,33442757
1 night or over,Italy,2022,43568101
1 night or over,Italy,2023,41088808
1 night or over,Latvia,2012,4752603
1 night or over,Latvia,2013,3980389
1 night or over,Latvia,2014,4369740
1 night or over,Latvia,2015,3972359
1 night or over,Latvia,2016,4071859
1 night or over,Latvia,2017,3969184
1 night or over,Latvia,2018,3722889
1 night or over,Latvia,2019,3728515
