Duration,Country,Year,NumTrips
From 1 to 3 nights,Czechia,2015,1237811
From 1 to 3 nights,Czechia,2015,17441143
From 1 to 3 nights,Czechia,2016,17702092
From 1 to 3 nights,Czechia,2016,1275739
From 1 to 3 nights,Czechia,2016,18977831
From 1 to 3 nights,Czechia,2017,20061639
From 1 to 3 nights,Czechia,2017,1328754
From 1 to 3 nights,Czechia,2017,21390393
From 1 to 3 nights,Czechia,2018,18498367
From 1 to 3 nights,Czechia,2018,1802794
From 1 to 3 nights,Czechia,2018,20301161
From 1 to 3 nights,Czechia,2019,18301424
From 1 to 3 nights,Czechia,2019,1668864
From 1 to 3 nights,Czechia,2019,19970288
From 1 to 3 nights,Czechia,2020,12774637
From 1 to 3 nights,Czechia,2020,575544
From 1 to 3 nights,Czechia,2020,585901
From 1 to 3 nights,Czechia,2020,13360538
From 1 to 3 nights,Czechia,2021,14492600
From 1 to 3 nights,Czechia,2021,490169
From 1 to 3 nights,Czechia,2021,497229
From 1 to 3 nights,Czechia,2021,14989829
From 1 to 3 nights,Czechia,2022,17453952
From 1 to 3 nights,Czechia,2022,1301715
From 1 to 3 nights,Czechia,2022,1319265
From 1 to 3 nights,Czechia,2022,18773218
From 1 to 3 nights,Czechia,2023,12840828
From 1 to 3 nights,Czechia,2023,1701345
From 1 to 3 nights,Czechia,2023,1753982
From 1 to 3 nights,Czechia,2023,14594810
From 1 to 3 nights,Denmark,2012,17342909
From 1 to 3 nights,Denmark,2012,1527244
From 1 to 3 nights,Denmark,2012,18870153
From 1 to 3 nights,Denmark,2013,19196406
From 1 to 3 nights,Denmark,2013,2374379
From 1 to 3 nights,Denmark,2013,21570785
From 1 to 3 nights,Denmark,2014,19511192
From 1 to 3 nights,Denmark,2014,2599579
From 1 to 3 nights,Denmark,2014,22110771
From 1 to 3 nights,Denmark,2015,19496387
From 1 to 3 nights,Denmark,2015,2717992
From 1 to 3 nights,Denmark,2015,22214379
From 1 to 3 nights,Denmark,2016,17400216
From 1 to 3 nights,Denmark,2016,2507991
From 1 to 3 nights,Denmark,2016,19908207
From 1 to 3 nights,Denmark,2017,13838114
From 1 to 3 nights,Denmark,2017,1980523
From 1 to 3 nights,Denmark,2017,15818637
From 1 to 3 nights,Denmark,2018,6588550
From 1 to 3 nights,Denmark,2018,998044
From 1 to 3 nights,Denmark,2018,7586594
From 1 to 3 nights,Denmark,2019,12339753
From 1 to 3 nights,Denmark,2019,2753471
From 1 to 3 nights,Denmark,2019,15093224
From 1 to 3 nights,Denmark,2020,11990566
From 1 to 3 nights,Denmark,2020,711631
From 1 to 3 nights,Denmark,2020,823086
From 1 to 3 nights,Denmark,2020,111455
From 1 to 3 nights,Denmark,2020,12813652
From 1 to 3 nights,Denmark,2021,8744466
From 1 to 3 nights,Denmark,2021,763901
From 1 to 3 nights,Denmark,2021,805295
From 1 to 3 nights,Denmark,2021,9549761
From 1 to 3 nights,Denmark,2022,8456216
From 1 to 3 nights,Denmark,2022,1143824
From 1 to 3 nights,Denmark,2022,1320328
From 1 to 3 nights,Denmark,2022,176503
From 1 to 3 nights,Denmark,2022,9776544
From 1 to 3 nights,Denmark,2023,7935700
From 1 to 3 nights,Denmark,2023,1295918
From 1 to 3 nights,Denmark,2023,1502051
From 1 to 3 nights,Denmark,2023,206133
From 1 to 3 nights,Denmark,2023,9437751
From 1 to 3 nights,Estonia,2012,1353968
From 1 to 3 nights,Estonia,2012,459316
From 1 to 3 nights,Estonia,2012,1813285
From 1 to 3 nights,Estonia,2013,1386473
From 1 to 3 nights,Estonia,2013,395321
From 1 to 3 nights,Estonia,2013,1781794
From 1 to 3 nights,Estonia,2014,2048022
From 1 to 3 nights,Estonia,2014,485265
From 1 to 3 nights,Estonia,2014,2533287
From 1 to 3 nights,Estonia,2015,2147737
From 1 to 3 nights,Estonia,2015,368095
From 1 to 3 nights,Estonia,2015,2515832
From 1 to 3 nights,Estonia,2016,2598912
From 1 to 3 nights,Estonia,2016,393638
From 1 to 3 nights,Estonia,2016,2992551
From 1 to 3 nights,Estonia,2017,2599066
From 1 to 3 nights,Estonia,2017,419706
From 1 to 3 nights,Estonia,2017,3018772
From 1 to 3 nights,Estonia,2018,3684154
From 1 to 3 nights,Estonia,2018,646343
From 1 to 3 nights,Estonia,2018,4330497
From 1 to 3 nights,Estonia,2019,2792391
From 1 to 3 nights,Estonia,2019,521943
From 1 to 3 nights,Estonia,2019,3314333
From 1 to 3 nights,Estonia,2020,1731058
From 1 to 3 nights,Estonia,2020,141893
From 1 to 3 nights,Estonia,2020,166003
From 1 to 3 nights,Estonia,2020,24111
From 1 to 3 nights,Estonia,2020,1897061
From 1 to 3 nights,Estonia,2021,1784187
From 1 to 3 nights,Estonia,2021,109548
From 1 to 3 nights,Estonia,2021,128947
From 1 to 3 nights,Estonia,2021,1913134
From 1 to 3 nights,Estonia,2022,2157881
From 1 to 3 nights,Estonia,2022,328393
From 1 to 3 nights,Estonia,2022,371472
From 1 to 3 nights,Estonia,2022,43079
From 1 to 3 nights,Estonia,2022,2529353
From 1 to 3 nights,Estonia,2023,2605023
From 1 to 3 nights,Estonia,2023,408300
From 1 to 3 nights,Estonia,2023,461999
From 1 to 3 nights,Estonia,2023,53699
From 1 to 3 nights,Estonia,2023,3067022
From 1 to 3 nights,European Union - 27 countries (from 2020),2012,471264431
From 1 to 3 nights,European Union - 27 countries (from 2020),2012,52316568
From 1 to 3 nights,European Union - 27 countries (from 2020),2012,523580999
From 1 to 3 nights,European Union - 27 countries (from 2020),2013,460689516
From 1 to 3 nights,European Union - 27 countries (from 2020),2013,53496373
From 1 to 3 nights,European Union - 27 countries (from 2020),2013,514185889
From 1 to 3 nights,European Union - 27 countries (from 2020),2014,455597157
From 1 to 3 nights,European Union - 27 countries (from 2020),2014,54689757
From 1 to 3 nights,European Union - 27 countries (from 2020),2014,510286914
From 1 to 3 nights,European Union - 27 countries (from 2020),2015,460563458
From 1 to 3 nights,European Union - 27 countries (from 2020),2015,57325584
From 1 to 3 nights,European Union - 27 countries (from 2020),2015,517889042
From 1 to 3 nights,European Union - 27 countries (from 2020),2016,468592159
From 1 to 3 nights,European Union - 27 countries (from 2020),2016,60088249
From 1 to 3 nights,European Union - 27 countries (from 2020),2016,528680409
From 1 to 3 nights,European Union - 27 countries (from 2020),2017,481493441
From 1 to 3 nights,European Union - 27 countries (from 2020),2017,64189703
From 1 to 3 nights,European Union - 27 countries (from 2020),2017,545683144
From 1 to 3 nights,European Union - 27 countries (from 2020),2018,480719831
From 1 to 3 nights,European Union - 27 countries (from 2020),2018,69430378
From 1 to 3 nights,European Union - 27 countries (from 2020),2018,550150209
From 1 to 3 nights,European Union - 27 countries (from 2020),2019,486564955
From 1 to 3 nights,European Union - 27 countries (from 2020),2019,70193008
From 1 to 3 nights,European Union - 27 countries (from 2020),2019,556757963
From 1 to 3 nights,European Union - 27 countries (from 2020),2020,350371288
From 1 to 3 nights,European Union - 27 countries (from 2020),2020,21072184
From 1 to 3 nights,European Union - 27 countries (from 2020),2020,25411445
From 1 to 3 nights,European Union - 27 countries (from 2020),2020,4339262
From 1 to 3 nights,European Union - 27 countries (from 2020),2020,375782734
From 1 to 3 nights,European Union - 27 countries (from 2020),2021,434770756
From 1 to 3 nights,European Union - 27 countries (from 2020),2021,25965957
From 1 to 3 nights,European Union - 27 countries (from 2020),2021,30061016
From 1 to 3 nights,European Union - 27 countries (from 2020),2021,4095059
From 1 to 3 nights,European Union - 27 countries (from 2020),2021,464831772
From 1 to 3 nights,European Union - 27 countries (from 2020),2022,474767666
From 1 to 3 nights,European Union - 27 countries (from 2020),2022,50368742
From 1 to 3 nights,European Union - 27 countries (from 2020),2022,59620316
From 1 to 3 nights,European Union - 27 countries (from 2020),2022,9251575
From 1 to 3 nights,European Union - 27 countries (from 2020),2022,534387983
From 1 to 3 nights,European Union - 27 countries (from 2020),2023,493409640
From 1 to 3 nights,European Union - 27 countries (from 2020),2023,59278730
From 1 to 3 nights,European Union - 27 countries (from 2020),2023,71191656
From 1 to 3 nights,European Union - 27 countries (from 2020),2023,11912926
From 1 to 3 nights,European Union - 27 countries (from 2020),2023,564601297
From 1 to 3 nights,Finland,2012,21483338
From 1 to 3 nights,Finland,2012,3537344
From 1 to 3 nights,Finland,2012,25020682
From 1 to 3 nights,Finland,2013,21219881
From 1 to 3 nights,Finland,2013,3581500
From 1 to 3 nights,Finland,2013,24801381
From 1 to 3 nights,Finland,2014,20069650
From 1 to 3 nights,Finland,2014,3391192
From 1 to 3 nights,Finland,2014,23460842
From 1 to 3 nights,Finland,2015,20500670
From 1 to 3 nights,Finland,2015,3541532
From 1 to 3 nights,Finland,2015,24042202
From 1 to 3 nights,Finland,2016,20638135
From 1 to 3 nights,Finland,2016,3545942
From 1 to 3 nights,Finland,2016,24184077
From 1 to 3 nights,Finland,2017,21196262
From 1 to 3 nights,Finland,2017,3759778
